id,category,name,price,emotion,weather,image,restaurant_id
149,덮밥,큐브스테이크덮밥,8800,"배고픔,기쁨","맑음,황사",NULL,6
150,덮밥,쭈삼덮밥,6800,배고픔,"맑음,황사",NULL,6
151,덮밥,닭갈비숙주덮밥,5200,배고픔,"맑음,황사",NULL,6
152,덮밥,제육숙주덮밥,5200,"배고픔,피곤,스트레스","맑음,황사",NULL,6
153,덮밥,소불숙주덮밥,6900,배고픔,"맑음,황사",NULL,6
154,덮밥,쭈불덮밥,7000,배고픔,"맑음,황사",NULL,6
155,덮밥,삼겹매콥와퍼,6900,"배고픔,피곤,스트레스","맑음,황사",NULL,6
156,덮밥,데리와퍼참치,4500,배고픔,"맑음,황사",NULL,6
157,덮밥,제육와퍼,4700,배고픔,"맑음,황사",NULL,6
158,덮밥,김치제육와퍼,5500,"배고픔,피곤,스트레스","맑음,황사",NULL,6
159,덮밥,데리와퍼치킨,4500,배고픔,"맑음,황사",NULL,6
160,덮밥,참치마요,3700,배고픔,"맑음,황사",NULL,6
161,덮밥,치킨마요,3700,배고픔,"맑음,황사",NULL,6
162,덮밥,삼겹매콤마요,4900,"배고픔,피곤,스트레스","맑음,황사",NULL,6
163,덮밥,불고기비빔밥,7500,배고픔,맑음,NULL,6
164,덮밥,야채참치비빔밥,5700,배고픔,맑음,NULL,6
165,덮밥,강된장제육비빔밥,6500,배고픔,맑음,NULL,6
166,도시락,불맛땡초치킨도시락,5800,"배고픔,피곤,스트레스","맑음,황사",NULL,6
167,도시락,마늘간장치킨도시락,5800,배고픔,"맑음,황사",NULL,6
168,도시락,새우콤보도시락,5900,배고픔,"맑음,황사",NULL,6
169,도시락,칠리콤보도시락,5700,"배고픔,피곤,스트레스","맑음,황사",NULL,6
170,도시락,콤보도시락,5700,배고픔,"맑음,황사",NULL,6
171,도시락,소불고기도시락,7200,배고픔,"맑음,황사",NULL,6
172,도시락,제육볶음도시락,4900,배고픔,"맑음,황사",NULL,6
173,도시락,떡닭갈비도시락,5800,배고픔,"맑음,황사",NULL,6
174,카레,치킨커리,5500,배고픔,"맑음,구름,황사",NULL,6
175,카레,돈까스커리,5800,배고픔,"맑음,구름,황사",NULL,6
176,도시락,짝3호(제육+간장치킨),5200,배고픔,"맑음,구름,황사",NULL,6
177,도시락,짝4호(소불+간장치킨),6500,배고픔,"맑음,구름,황사",NULL,6
178,도시락,짝2호(소불+돈까스),6800,배고픔,"맑음,구름,황사",NULL,6
179,도시락,짝1호(제육+돈까스),5500,배고픔,"맑음,구름,황사",NULL,6
180,도시락,짝5호(소불+제육),6500,배고픔,"맑음,황사",NULL,6
181,도시락,만찬도시락,12500,배고픔,맑음,NULL,6
182,도시락,코다리소불도시락,9500,배고픔,맑음,NULL,6
183,도시락,인기스타,8000,배고픔,맑음,NULL,6
184,도시락,진수성찬,8500,배고픔,맑음,NULL,6
185,도시락,한상차림,10500,배고픔,맑음,NULL,6
186,도시락,코다리제육도시락,8500,배고픔,맑음,NULL,6
187,사이드,케이준감자,2500,적당,맑음,NULL,6
188,사이드,새우감자고로케,2000,적당,맑음,NULL,6
189,사이드,국물떡볶이,3800,"배고픔,기쁨,피곤,스트레스","맑음,구름,비",NULL,6
190,아시안,하노이정통쌀국수,9000,"배고픔,피곤","맑음,구름,비,눈",NULL,8
191,아시안,매운쌀국수,10000,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,8
192,아시안,분짜,14000,적당,"맑음,구름",NULL,8
193,아시안,반쎄오,16000,배고픔,"맑음,구름",NULL,8
194,아시안,파인애플볶음밥,11000,배고픔,맑음,NULL,8
195,아시안,반미,10000,배고픔,맑음.구름,NULL,8
196,아시안,넴,6500,"적당,스트레스",맑음,NULL,8
197,아시안,하가우,4500,적당,맑음,NULL,8
198,아시안,꿔이,3000,배고픔,맑음,NULL,8
202,돈까스,수제생등심돈가스,6900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
203,돈까스,치즈돈가스,8900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
204,돈까스,카레돈가스,8400,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
205,돈까스,로제돈가스,8400,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
206,돈까스,마늘돈가스,8400,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
207,돈까스,로제치즈돈가스,9900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
208,돈까스,옛날돈가스,8400,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
209,돈까스,고구마치즈돈가스,8900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
210,돈까스,매운칠리돈가스,8400,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
211,돈까스,생크림데미그라스볼카츠,7900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
212,돈까스,치킨안심가스,8400,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
213,돈까스,생크림데미그라스점보돈가스,10900,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,10
214,한식,쫄면,5500,"배고픔,피곤,스트레스","맑음,구름",NULL,10
215,일식,우동,5500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,10
216,일식,파우동,6000,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,10
217,일식,얼큰파우동,6500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,10
218,일식,로제우동,6500,"배고픔,피곤,스트레스","맑음,구름,비,눈",NULL,10
219,카레,카레라이스,5900,적당,맑음,NULL,10
220,한식,데리장조림덮밥,6500,적당,맑음,NULL,10
221,한식,고추장장조림비빔밥,6500,적당,맑음,NULL,10
222,한식,불냉면,6500,"적당,피곤,스트레스",맑음,NULL,10
223,일식,냉모밀,5500,"적당,기쁨",맑음,NULL,10
