id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient,allergy
43,감자고기만두,48.0,150.0,315.0,32.0,11.0,16.0,6.0,,25.0,520.0,,"감자, 돼지고기, 당면, 두부, 부추","고기,콩"
44,김치만두,49.0,200.0,325.0,38.0,16.0,12.0,,,15.0,880.0,120.0,"김치, 돼지고기, 당면, 두부, 부추","고기,콩"
45,갈비만두,50.0,100.0,160.0,13.32,8.02,7.9,2.5,3.4,12.0,230.0,100.0,"돼지고기, 당면, 두부, 부추","고기,콩"
46,야채비빔밥,47.0,300.0,388.0,75.3,11.22,3.81,1.067,1.373,113.0,279.0,364.0,"양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀",
47,참치주먹밥,51.0,100.0,202.0,32.0,4.0,6.0,0.78,,0.0,312.0,,"쌀, 참치, 마요네즈",생선
48,멸치주먹밥,52.0,100.0,208.0,36.59,6.07,3.74,0.637,1.425,8.0,487.0,101.0,"쌀, 멸치, 마요네즈",생선
49,소고기야채죽,57.0,200.0,170.0,26.04,9.74,3.18,1.187,1.223,10.0,245.0,286.0,"쌀, 소고기, 버섯, 양파, 당근",
50,콩국수(여름메뉴),53.0,200.0,513.0,81.4,25.01,10.41,2.059,2.652,85.0,526.0,795.0,"콩, 밀가루, 오이","콩,밀"
51,열무국수(여름메뉴),54.0,350.0,392.0,68.33,10.51,8.1,1.16,3.023,0.0,1468.0,322.0,"열무김치, 달걀, 오이, 당근, 밀가루, 깨","달걀,밀"
52,호박죽,55.0,300.0,211.0,44.01,4.38,2.96,1.735,0.619,3.0,605.0,333.0,"호박, 쌀, 꿀",
53,팥죽,56.0,400.0,382.0,78.49,15.06,1.54,0.354,0.277,0.0,555.0,738.0,"팥, 쌀, 소금, 꿀",
54,영양닭죽,58.0,200.0,247.0,5.52,37.21,12.18,3.454,5.014,82.0,470.0,303.0,"쌀, 당근, 파, 깨, 닭고기",고기
55,딥치즈싸이버거,,246.0,655.0,,31.0,,14.0,,,1196.0,,"밀가루, 닭고기, 양상추, 치즈","밀,고기,우유"
56,화이트갈릭싸이버거,66.0,263.0,759.0,,37.0,,13.0,,,1345.0,,"밀가루, 닭고기, 양상추","밀,고기"
57,쉬림프싸이플렉스버거,64.0,301.0,858.0,,29.0,,11.8,,,1392.0,,"밀가루, 새우, 닭고기, 양상추","밀,고기"
58,트리플딥치즈싸이버거,65.0,272.0,659.0,,30.0,,12.1,,,1514.0,,"밀가루, 닭고기, 아황산, 양상추, 치즈","밀,고기,우유"
59,텍사스바베큐치킨버거,77.0,285.0,602.0,,33.0,,9.6,,,1419.0,,"밀가루, 닭고기, 양상추, 토마토, 돼지고기","밀,고기,고기"
60,싸이플렉스버거,63.0,406.0,991.0,,44.0,,15.2,,,2024.0,,"밀가루, 닭고기, 양상추, 토마토","밀,고기"
61,양념치킨싸이버거,61.0,260.0,659.0,,29.0,,8.2,,,1277.0,,"밀가루, 닭고기, 양상추, 토마토","밀,고기"
