id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient
157,김치제육와퍼,158,250,381,56.1,14,11,3.2,4.9,46.6,284,391,"돼지고기, 고추장, 김치, 달걀, 데리야끼소스, 쌀, 김"
158,데리와퍼치킨,159,302.9,552.5,79.3,18.2,18.2,3.12,0,84.5,1053,0,"쌀, 닭고기, 양파, 김, 달걀, 마요네즈, 데리야끼소스"
159,삼겹매콤마요,162,100,312,39.21,13.2,12,561,4.2,5.31,5.12,152.3,"돼지고기, 양파, 달걀, 간장, 쌀"
160,불고기비빔밥,163,205,345,54,8,11,2.2,NULL,30,730,NULL,"양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀, 소고기"
161,야채참치비빔밥,164,300,388,75.3,11.22,3.81,1.067,NULL,113,279,364,"양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀, 참치"
162,강된장제육비빔밥,165,380,370,71,11,4.5,0.7,NULL,NULL,880,NULL,"된장, 돼지고기, 양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀"
163,불맛땡초치킨도시락,166,345,585,92,29,11,1.9,NULL,105,1290,NULL,"닭고기, 쌀, 김치, 양배추, 밀가루"
164,마늘간장치킨도시락,167,400,754,97,24,30,6,NULL,77,1063,NULL,"마늘, 닭고기, 쌀, 김치, 양배추, 밀가루"
165,새우콤보도시락,168,400,712,81,36.32,30,NULL,NULL,NULL,831.3,NULL,"새우, 돼지고기, 밀가루, 쌀, 김치, 양배추"
166,칠리콤보도시락,169,400,741,104.3,27.32,19.3,6.4,9.12,249,782,720,"돼지고기, 닭고기, 밀가루, 쌀, 김치, 양배추, 칠리소스"
167,콤보도시락,170,400,720,102.95,26.84,21.7,4.93,8.12,247,732,810,"돼지고기, 닭고기, 밀가루, 쌀, 김치, 양배추"
168,소불고기도시락,171,400,792,118,39,17,NULL,NULL,NULL,NULL,NULL,"소고기, 밀가루, 쌀, 김치, 양배추, 양파, 당근"
169,제육볶음도시락,172,415,771,93,35,29,8,NULL,202,1616,NULL,"양파, 당근, 마늘, 돼지고기, 고추장, 밀가루, 쌀, 김치, 양배추"
170,떡닭갈비도시락,173,418,675,96,30,19,4.7,NULL,161,1905,NULL,"떡, 돼지고기, 양파, 김치, 양배추, 밀가루, 쌀"
171,치킨커리,174,200,211,11,20,11,3.1,NULL,110,640,NULL,"닭고기, 감자, 양파, 우유, 카레"
172,돈까스커리,175,200,231,17,23,15,4.1,NULL,149,730,NULL,"돼지고기, 밀가루, 감자, 양파, 우유, 카레"
173,짝3호(제육+간장치킨),176,415,791,98,39,41,8,NULL,219,1502,NULL,"돼지고기, 닭고기, 마늘, 고추장, 당근, 양파, 밀가루, 쌀, 양배추, 김치"
174,짝4호(소불+간장치킨),177,400,801,120,33.1,19.1,NULL,NULL,NULL,NULL,NULL,"소고기, 닭고기, 마늘, 김치, 양배추, 양파, 당근, 밀가루, 쌀"
175,짝2호(소불+돈까스),178,400,810,118,39,10.2,NULL,NULL,NULL,NULL,NULL,"소고기, 돼지고기, 밀가루, 당근, 양파, 김치, 양배추, 쌀"
176,짝1호(제육+돈까스),179,415,781,98,33.31,30,9,NULL,200.12,1603,NULL,"돼지고기, 마늘, 고추장, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
177,짝5호(소불+제육),180,415,831,120.1,38.21,35.2,11,NULL,201.92,1600,NULL,"소고기, 돼지고기, 고추장, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
178,만찬도시락,181,400,793,99.2,39.3,38.2,13,NULL,243.1,1702,NULL,"돼지고기, 소고기, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
179,코다리소불도시락,182,400,845,131,41.2,39.91,12,NULL,209,1654,NULL,"생선, 소고기, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
