﻿id,restaurant_id,category,menu,price,restaurant_name,emotion,weather
171,6,도시락,소불고기도시락,7200,토마토도시락 인천대점,배고픔,"맑음, 황사"
172,6,도시락,제육볶음도시락,4900,토마토도시락 인천대점,배고픔,"맑음, 황사"
173,6,도시락,떡닭갈비도시락,5800,토마토도시락 인천대점,배고픔,"맑음, 황사"
174,6,카레,치킨커리,5500,토마토도시락 인천대점,배고픔,"맑음, 구름, 황사"
175,6,카레,돈까스커리,5800,토마토도시락 인천대점,배고픔,"맑음, 구름, 황사"
176,6,도시락,짝3호(제육+간장치킨),5200,토마토도시락 인천대점,배고픔,"맑음, 구름, 황사"
177,6,도시락,짝4호(소불+간장치킨),6500,토마토도시락 인천대점,배고픔,"맑음, 구름, 황사"
178,6,도시락,짝2호(소불+돈까스),6800,토마토도시락 인천대점,배고픔,"맑음, 구름, 황사"
179,6,도시락,짝1호(제육+돈까스),5500,토마토도시락 인천대점,배고픔,"맑음, 구름, 황사"
180,6,도시락,짝5호(소불+제육),6500,토마토도시락 인천대점,배고픔,"맑음, 황사"
181,6,도시락,만찬도시락,12500,토마토도시락 인천대점,배고픔,맑음
182,6,도시락,코다리소불도시락,9500,토마토도시락 인천대점,배고픔,맑음
183,6,도시락,인기스타,8000,토마토도시락 인천대점,배고픔,맑음
184,6,도시락,진수성찬,8500,토마토도시락 인천대점,배고픔,맑음
185,6,도시락,한상차림,10500,토마토도시락 인천대점,배고픔,맑음
186,6,도시락,코다리제육도시락,8500,토마토도시락 인천대점,배고픔,맑음
187,6,사이드,케이준감자,2500,토마토도시락 인천대점,적당,맑음
188,6,사이드,새우감자고로케,2000,토마토도시락 인천대점,적당,맑음
189,6,사이드,국물떡볶이,3800,토마토도시락 인천대점,"배고픔, 기쁨, 피곤, 스트레스","맑음, 구름, 비"
190,8,아시안,하노이정통쌀국수,9000,하노이키친,"배고픔, 피곤","맑음, 구름, 비, 눈"
191,8,아시안,매운쌀국수,10000,하노이키친,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
192,8,아시안,분짜,14000,하노이키친,적당,"맑음, 구름"
193,8,아시안,반쎄오,16000,하노이키친,배고픔,"맑음, 구름"
194,8,아시안,파인애플볶음밥,11000,하노이키친,배고픔,맑음
195,8,아시안,반미,10000,하노이키친,배고픔,맑음. 구름
196,8,아시안,넴,6500,하노이키친,"적당, 스트레스",맑음
197,8,아시안,하가우,4500,하노이키친,적당,맑음
198,8,아시안,꿔이,3000,하노이키친,배고픔,맑음
202,10,돈까스,수제생등심돈가스,6900,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
203,10,돈까스,치즈돈가스,8900,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
204,10,돈까스,카레돈가스,8400,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
205,10,돈까스,로제돈가스,8400,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
206,10,돈까스,마늘돈가스,8400,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
207,10,돈까스,로제치즈돈가스,9900,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
208,10,돈까스,옛날돈가스,8400,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
209,10,돈까스,고구마치즈돈가스,8900,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
210,10,돈까스,매운칠리돈가스,8400,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
211,10,돈까스,생크림데미그라스볼카츠,7900,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
212,10,돈까스,치킨안심가스,8400,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
213,10,돈까스,생크림데미그라스점보돈가스,10900,최고당돈가스 인천대점,"배고픔, 기쁨, 스트레스","맑음, 구름, 황사"
214,10,한식,쫄면,5500,최고당돈가스 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름"
215,10,일식,우동,5500,최고당돈가스 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
216,10,일식,파우동,6000,최고당돈가스 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
217,10,일식,얼큰파우동,6500,최고당돈가스 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
218,10,일식,로제우동,6500,최고당돈가스 인천대점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
219,10,카레,카레라이스,5900,최고당돈가스 인천대점,적당,맑음
220,10,한식,데리장조림덮밥,6500,최고당돈가스 인천대점,적당,맑음
221,10,한식,고추장장조림비빔밥,6500,최고당돈가스 인천대점,적당,맑음
222,10,한식,불냉면,6500,최고당돈가스 인천대점,"적당, 피곤, 스트레스",맑음
223,10,일식,냉모밀,5500,최고당돈가스 인천대점,"적당, 기쁨",맑음
224,11,한식,닭갈비주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
225,11,한식,김치볶음주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
226,11,한식,구운스팸주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
227,11,한식,치즈날치알주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
228,11,한식,참치김치주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
229,11,한식,양념갈비주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
230,11,한식,제육김치주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
231,11,한식,갈릭떡갈비주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
232,11,한식,참치샐러드주먹밥,3000,공씨네주먹밥 인천대학교점,적당,맑음
233,11,분식,담백라면,4500,공씨네주먹밥 인천대학교점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
234,11,분식,얼큰라면,4500,공씨네주먹밥 인천대학교점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
235,11,일식,어묵우동,5500,공씨네주먹밥 인천대학교점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
236,11,일식,김치우동,5500,공씨네주먹밥 인천대학교점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
237,11,사이드,어묵,1000,공씨네주먹밥 인천대학교점,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
238,9,국밥,순대국밥,6000,인천대학교 송도캠퍼스 학생식당,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
239,9,국밥,수육국밥,6000,인천대학교 송도캠퍼스 학생식당,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
