이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),재료
콤보도시락,400,720,102.95,26.84,21.7,4.93,8.12,247,732,810,"돼지고기, 닭고기, 밀가루, 쌀, 김치, 양배추"
소불고기도시락,400,792,118,39,17,,,,,,"소고기, 밀가루, 쌀, 김치, 양배추, 양파, 당근"
제육볶음도시락,415,771,93,35,29,8,,202,1616,,"양파, 당근, 마늘, 돼지고기, 고추장, 밀가루, 쌀, 김치, 양배추"
떡닭갈비도시락,418,675,96,30,19,4.7,,161,1905,,"떡, 돼지고기, 양파, 김치, 양배추, 밀가루, 쌀"
치킨커리,200,211,11,20,11,3.1,,110,640,,"닭고기, 감자, 양파, 우유, 카레"
돈까스커리,200,231,17,23,15,4.1,,149,730,,"돼지고기, 밀가루, 감자, 양파, 우유, 카레"
짝3호(제육+간장치킨),415,791,98,39,41,8,,219,1502,,"돼지고기, 닭고기, 마늘, 고추장, 당근, 양파, 밀가루, 쌀, 양배추, 김치"
짝4호(소불+간장치킨),400,801,120,33.1,19.1,,,,,,"소고기, 닭고기, 마늘, 김치, 양배추, 양파, 당근, 밀가루, 쌀"
짝2호(소불+돈까스),400,810,118,39,10.2,,,,,,"소고기, 돼지고기, 밀가루, 당근, 양파, 김치, 양배추, 쌀"
짝1호(제육+돈까스),415,781,98,33.31,30,9,,200.12,1603,,"돼지고기, 마늘, 고추장, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
짝5호(소불+제육),415,831,120.1,38.21,35.2,11,,201.92,1600,,"소고기, 돼지고기, 고추장, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
만찬도시락,400,793,99.2,39.3,38.2,13,,243.1,1702,,"돼지고기, 소고기, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
코다리소불도시락,400,845,131,41.2,39.91,12,,209,1654,,"생선, 소고기, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
인기스타,475,839,141,41,20.98,5.3,,182,1808,,"새우, 닭고기, 소고기, 돼지고기, 밀가루, 김치, 양배추, 당근, 양파, 메추리알, 쌀, 어묵"
진수성찬,497,824,122,35,22,7,,149,1870,,"새우, 돼지고기, 고추장, 닭고기, 밀가루, 김치, 양배추, 메추리알, 어묵, 쌀"
한상차림,475,839,130,37,19,4.3,,177,1775,,"소고기, 돼지고기, 생선, 당근, 양파, 김치, 양배추, 메추리알, 쌀, 밀가루"
코다리제육도시락,400,750,83,41,28,8,,198,1771,,"생선, 돼지고기, 고추장, 양파, 밀가루, 쌀, 김치, 양배추"
새우감자고로케,100,210,19.31,4.07,12.91,1.418,6.89,32,220,133,"새우, 감자, 햄, 양파, 달걀, 밀가루 케이준감자 - 밀가루, 감자"
케이준감자,100,313,60,4,4,1.1,2.8,,410,,"밀가루, 감자"
국물떡볶이,200,280,60.42,6.97,2.91,0.544,0.768,7,249,571,"떡, 고추장, 간장, 고추가루"
베트남쌀국수,624,589,112.94,25.08,4.12,0.69,,27,2539,,"쌀가루, 소고기, 숙주, 양파, 고추, 대파, 레몬"
분짜,500,765,91.49,35.59,26.45,9.642,11.548,116,1009,569,"쌀가루, 돼지고기, 양상추, 고수, 어린잎, 레몬"
반쎄오,100,140,23.49,5.88,2.47,1.54,0.418,24,117,199,"쌀가루, 밀가루, 강황가루, 코코널밀크"
매운쌀국수,300,350,74,7,3.1,1.8,,0,1080,,"쌀가루, 소고기, 숙주, 양파, 고추, 대파, 레몬"
파인애플볶음밥,250,271,53,12,1.4,,,15,714,,"파인애플, 달걀, 양파, 쌀, 대파, 굴소스"
넴,50,95,12,3.5,3.3,0.5,2.8,,300,,"쌀가루, 상추, 박하, 깻잎, 청경채, 돼지고기, 새우, 레몬"
하가우,50,47,5,2.6,0.6,0.1,0.5,,104,,"새우, 쌀가루, 대파, 참기름, 간장"
꿔이,200,350,50,20,4,1.5,2.6,,1500,,"쌀가루, 미역, 소고기, 양파, 마늘, 생각, 숙주, 당근, 오이, 레몬"
반미,100,210,36,9,3.5,1.3,,15,530,,"밀가루, 오이, 고수, 고추, 돼지고기, 굴소스"
등심돈까스,200,491,24.56,51.77,18.98,5.307,8.254,185,883,640,"돼지고기, 밀가루, 양배추, 쌀"
치즈돈까스,250,721,25.41,57.87,41.57,17.171,16.385,217,1237,622,"돼지고기, 밀가루, 양배추, 쌀, 치즈"
고구마치즈돈까스,250,688,27.04,54.36,38.87,16.055,15.318,203,1165,636,"돼지고기, 밀가루, 양배추, 쌀, 고구마, 치즈"
치킨까스,200,569,25.05,39.54,33.22,8.5,13.364,163,564,354,"닭고기, 밀가루, 양배추, 쌀"
카레돈까스,300,551,53.12,32.55,23.91,5.311,11.873,78,614,861,"돼지고기, 밀가루, 양배추, 쌀, 카레"
쫄면,200,211,43.29,4.55,1.54,0.248,0.433,0,501,337,"밀가루, 오이, 양배추, 당근, 콩나물, 상추, 달걀, 고추장, 고추가루"
우동,200,361,73.62,11.82,1.42,0.292,0.288,14,1537,177,"밀가루, 가쓰오부시, 쯔유, 다시마, 대파, 어묵, 유부"
냉모밀,250,281,51.39,7.98,4.72,0.73,1.179,13,452,151,"메밀, 무, 김, 파, 고추냉이, 멸치"
로제돈가스,150,550,47,28,27,3,24,,1000,,"돼지고기, 밀가루, 양배추, 쌀, 우유, 토마토"
마늘돈가스,150,510,29,36,27,5,17,,940,,"돼지고기, 밀가루, 양배추, 쌀, 마늘"
로제치즈돈가스,180,630,50,40,51,5,29,,1203,,"돼지고기, 밀가루, 양배추, 쌀, 우유, 토마토, 치즈"
옛날돈가스,150,500,22,28,29,7,18,,780,,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스"
매운칠리돈가스,150,543,32,29,29,6,14,,820,,"돼지고기, 밀가르, 양배추, 쌀, 칠리소스"
생크림데미그라스볼카츠,100,300,20,24,10,,,,500,,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스, 우유"
생크림데미그라스점보돈가스,100,304,37,24.1,17.1,12.3,11.4,,520,302,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스, 우유"
파우동,200,361,73.62,11.82,1.42,0.292,0.288,14,1537,177,"밀가루, 가쓰오부시, 쯔유, 다시마, 대파, 어묵, 유부"
얼큰파우동,200,389,77,13.834,1.92,0.292,0.312,17,1603,179,"밀가루, 가쓰오부시, 쯔유, 다시마, 대파, 어묵, 유부, 고추"
로제우동,200,403.1,73.1,12.931,2.01,0.5,0.52,11,1605,201,"밀가루, 토마토, 우유, 대파"
카레라이스,400,544,71.72,34.54,14.91,3.7,7.23,43,600,1194,"쌀, 돼지고기 , 감자, 양파, 우유, 카레"
데리장조림덮밥,260,370,62,16,5.7,3.7,,95,490,,"쌀, 양파, 고추, 참기름, 장조림, 버터, 데리야끼소스"
고추장장조림비빔밥,260,380,67,16,4.2,4.4,,102,473.33,,"쌀, 양파, 고추장, 장조림, 참기름, 버터"
불냉면,400,463,75.92,17.37,9.34,2.117,3.419,189,1583,312,"밀가루, 오이, 쌈무, 참기름, 달걀, 마늘"
참치주먹밥,100,202,32,4,6,0.78,,0,312,,"쌀, 참치, 마요네즈"
닭갈비주먹밥,300,605,100,29,10,3,3,69,841,578,"쌀, 닭고기, 마요네즈, 고추장"
참치김치주먹밥,300,549,64,12,13,,,,,,"쌀, 참치, 김치, 마요네즈"
떡갈비주먹밥,300,558,104,20,19,1,,30,840,501,"쌀, 돼지고기, 떡, 마요네즈"
어묵우동,200,361,73.62,11.82,1.42,0.292,0.288,14,1537,177,"밀가루, 가쓰오부시, 쯔유, 다시마, 대파, 어묵, 유부"
김치우동,300,481,82.27,12.02,10.84,2.682,6.088,15,809,357,"밀가루, 가쓰오부시, 쯔유, 다시마, 대파, 김치, 유부"
김치볶음주먹밥,100,192,37.21,3.6,2.94,0.45,1.097,,258,81,"쌀, 김치, 참기름,마요네즈"
